,driver_id,trip_count,total_trip_duration,total_trip_distance,number of days
17294,d7e39b501ed376ad0d76fb58bef234d00c2d8adf97f21dd6503bb1fd8fa414d8,78,97298.0,330.9499999999998,12
17295,d7e498e7b4472c1140f19af4dce59a4027f070c095a0f0c5cd627039fb1c3833,25,107425.0,313.06,10
17296,d7e49d0c122cc8fe75f00227150b3922a212432af532e8edcd8450f43c5e504c,7,24630.0,61.839999999999975,2
17297,d7e924ed6332738076949cedcaa37e549ebb5733e24dbeedca9c5a4a59ed4c31,7,28094.0,77.72,6
17298,d7e991c827e872107f9b53be71d2259bb6aa280e72aba2607a3f23a7b44aa6a4,3,11932.0,19.979999999999997,2
17299,d7f01681510fa8555560dce007570509df516a7f1ac005c9f028b9a3f010a3d6,7,13562.0,33.749999999999986,5
17300,d7f1b3709b1be4c742c2274989d5477c4a0e04df986862aa7ea68aa7d2f2a28f,3,13211.0,27.290000000000003,3
17301,d7f69675adb5641a54d788c8c869c8c4cad7165f1b5ada4d839c55c2ed643661,37,93928.0,294.4999999999999,8
17302,d7f763e6288bdec1e1311da4b5a1da5962a609c4423a2f5733c6d632c6e4978f,40,114428.0,271.1500000000001,11
17303,d7f7c0901dba34be5c3ad483f36252c9f11848923fc87b02ee4e3e4c699e76c7,63,165282.0,435.1799999999998,12
17304,d7f8230d60be3c35fbbd9fb0dc67b56c6642c51958431baa27ac36b012e96308,1,4481.0,16.500000000000004,1
17305,d7fcdb27ad366badc57d5185df6769ae0489c86120d335b080ed82ae3c1714f9,145,140958.0,405.0699999999999,15
17306,d8085e459716d56967e29af850f63ecd179cfe40577650aa84221ecabc703832,2,2901.0,1.48,1
17307,d808861f8ac91b522c6703c6684d0f96482c910fd72a28d966541f51d508300c,7,8855.0,14.889999999999995,3
17308,d80d4a47ee832a474d99bf56f67ad56818261dbeb4090d9305c6208a32d19b45,6,15922.0,54.59999999999999,4
17309,d80eae6e96d148b3b2abbbc6760077b66c4ea071f847dab573d507a32c4d99a5,3,11107.0,3.8399999999999963,1
17310,d814a75907900812393fc231fda34a13b92f590a206acbf6b562280b1d5fb436,44,159320.0,364.02,12
17311,d814f8ab4c2b459d084d192a97e17dd4173230f60118788edf4bddb77031fd78,8,65226.0,120.88000000000001,5
17312,d815a635b22fe66e71cac651bcf438a9b1ad909236ca75f0224c050e28d1a71d,13,16497.0,63.539999999999985,2
17313,d8164e05e4b889f2b7c2a1dc4c2f95f06527fcf367987bc6a5493e3339bd9d75,38,64458.0,145.37999999999997,14
17314,d81d87968dd4ed2bdc9502cf403c64de89a92b6863a62664d06d033300edb2a2,8,6288.0,11.330000000000002,2
17315,d81f68747de5795b2ff8bec1de38fefc1535d034ad60a4fb489e4ce713f8d0b7,1,3261.0,15.819999999999997,1
17316,d81f8134d62c3082f3a97fb9f6a7826641e4b760d41878493ef677a17e05daf7,2,7792.0,16.73999999999997,1
17317,d820d57476ee20349fa9387b589fc442c58e7fc3716f3dd5913a4e26b10d1d06,25,114074.0,331.15999999999997,9
17318,d82881233e464348e438f96a945f33cf872372525521b298ae818734fc5b0d95,158,124579.0,403.20999999999987,16
17319,d82ad6538740790c561e9209b9f4c6fc0c17c767196596a3b7620b8b8749f3fd,4,5342.0,8.409999999999998,2
17320,d82b43d27437c9fc1b57aa0955b748829f6f8f97fcbae798b3afca0fbc9ea043,12,7143.0,15.510000000000002,4
17321,d82b8750bca8df614d998ce4f3fb62a8e0d155392c87f639da6ab82175c03b9a,9,19131.0,27.049999999999994,3
17322,d82cbb2bfa1144cfa95a89dcc0edd16182b7c96ececbe351f16887de8e30a11c,20,44125.0,99.88999999999989,11
17323,d82cdd51b14c14c287178d33e1b974af6e88d2d3cbdfea9806f12cb581082da2,16,15256.0,35.639999999999986,7
17324,d82cfb4f5c0e89f0baa74e44dbc3c208ad65502db72476f31849360aa390f0d6,2,9591.0,36.89,1
17325,d830ccd0571a12d03e80c81eb164c4d6aa8010f0f781ed6263cf5cdbc9c93ba8,48,56839.0,160.05999999999992,7
17326,d83245e439ff0582b022e2e5ed3b37e11c6160f3bbfa79313d56636da23a116c,18,66458.0,169.97000000000003,7
17327,d832bc9aacc49352f6fd3e929df27a9f3ef1c71699a5c78fdc30da33712bb8d6,191,231417.0,811.2499999999998,15
17328,d8341cb513648370ff9c03d4360d60a56dda33e2edbfb7d9f1a3cff5e5aefb02,6,14548.0,6.760000000000001,5
17329,d8371f8feb26e1a9cc618584686ccc178f7646a7939a5461b6a95c930c8dcb5d,45,106101.0,372.51999999999964,10
17330,d839bcc753c41d17d64da98925b7e84eb1706f5743f4de7abc60bcdd51e3ddab,21,54132.0,189.29999999999987,8
17331,d83a24b6cfd80bd2013db36a94a0e374a1bfcc1d68514932d9c2caaa850b6355,5,5073.0,6.470000000000001,1
17332,d83cfd28a9e93b7b726ec506b5cd03a455d23d0ee2f1d2f9ac927a10eaed2d60,21,44927.0,105.35999999999996,6
17333,d83d56c45663cbb0581b63c94beac65e8d42f1d12dd3db31175469631c9369cc,22,85759.0,263.1399999999999,4
17334,d84091ac5a08fe402addbd4463411e90f2bb4cd149b1a0bebd349cff7392c5ab,27,47512.0,135.3199999999999,8
17335,d840e89e2feb71672a6870afa2aebfb13ad8ff27a82816aba5e3e10b8ec6b2c9,65,139081.0,408.2799999999997,13
